Gene,Mean_GBM,Mean_Other,Diff_Score,T_Stat,P_Value,FDR,Cohen_D,Std_GBM,Std_Other,Rank_Selectivity
MARCHF1,0.004038418050267914,-0.018428779888885412,0.022467197939153326,1.4804706556104197,0.1439413078789702,0.3626544318642426,0.20786275987864444,0.10941129913511491,0.10800004877154809,14329
THOC1,-1.1054681047308237,-1.127945295652978,0.02247719092215439,0.742262687569481,0.46007630834999547,0.6912130946815056,0.07757503908281045,0.23813319860384485,0.2927872221326523,14330
PDE4A,-0.029211869480880066,-0.05171020802572637,0.022498338544846307,1.8648335956101678,0.06598213593184657,0.2263488960003713,0.21821254398869386,0.09586966057465773,0.10355543682146955,14331
PPP1R15A,-0.023592745477525073,-0.04609297487004856,0.02250022939252349,1.0904491495959843,0.2790500651909202,0.5283123977339658,0.15205252924280324,0.16593028653438163,0.1467339674531611,14332
WBP1L,-0.11944210218650068,-0.14194704361190813,0.022504941425407446,1.2911758598955685,0.2004926462922793,0.4363964118313742,0.15360636283775383,0.1386878964953519,0.147004426641325,14333
RSPH6A,-0.07717186504026792,-0.09967869281088827,0.022506827770620352,1.456214373867754,0.1495370047979317,0.3713264136590103,0.1984066351633961,0.12412388886410486,0.11270838931152903,14334
SAMD9,0.06981276044628311,0.04730071770564591,0.0225120427406372,1.989809624085487,0.05008869635252616,0.19166462106213117,0.2245546212778249,0.08962732660450157,0.1009037101945228,14335
HSD17B7,-0.10410936684160851,-0.12662420703166055,0.022514840190052038,1.4300752334797213,0.15655648115153784,0.3806359495843978,0.15070014896181028,0.12391296215896283,0.15090906876520996,14336
HIVEP3,-0.12404313558432498,-0.14656155055187825,0.022518414967553274,1.8718034007512658,0.06501830806701668,0.22460870215311146,0.22263374021193463,0.09572300800521913,0.10148792463888298,14337
HPCAL4,-0.11953976189678948,-0.14207432850342336,0.022534566606633874,1.3049172005419034,0.1959127653589913,0.4311379228831705,0.17296154053795812,0.13845461246392832,0.12973797689375566,14338
REEP4,0.011655770767902798,-0.010882218321411829,0.022537989089314626,1.8686436835767661,0.06508995989634671,0.22465419605282508,0.1733285833669377,0.09350400804308243,0.1320549562723811,14339
OR6V1,-0.02558950302363011,-0.048127794907492125,0.022538291883862013,1.5660878134931637,0.12259695636074158,0.33012254460196083,0.22859050259969285,0.10399814794918176,0.09823551366771108,14340
KCNJ2,0.003930295109319014,-0.018609130604793665,0.02253942571411268,1.7896815480520334,0.07743534186107283,0.2509222561095191,0.21497582817913294,0.10028576707645291,0.10513585030108688,14341
OR4L1,0.03304546978447856,0.010505194820387536,0.02254027496409102,2.102043473378069,0.039528975769912024,0.16529712325799734,0.2514703451653003,0.07639567290456574,0.09042718302313846,14342
CHCT1,0.04510060960775996,0.02252951208935103,0.02257109751840893,1.2680498087388026,0.20877099678985997,0.446656319074256,0.1808276148057225,0.14331568226798178,0.12352341000032215,14343
KDM1A,-0.2212640203029112,-0.24383636993115787,0.02257234962824667,1.2564987570307296,0.21256937410388727,0.4517697578590497,0.13318020778187697,0.14147453594723597,0.17114910245505027,14344
INSM2,0.08361966802111236,0.06103610901471762,0.022583559006394735,1.732836822741467,0.08699517698056904,0.26882459739232945,0.18874601290391996,0.10291079421649084,0.12065802207521839,14345
ENPP2,-0.03227104694310552,-0.05485484663814754,0.02258379969504202,2.269207736650473,0.025911080104633895,0.12838120402215816,0.23607489736976603,0.07822575048707878,0.09668815134913868,14346
SCD5,-0.057714502110793375,-0.08030606842470797,0.022591566313914596,1.7994964682985448,0.0758064613562227,0.24781871624036994,0.20769798010114265,0.09964906224813275,0.10933771288878462,14347
AOC2,-0.05144554546307917,-0.07403859600784651,0.022593050544767346,1.3454699075337246,0.182614891243639,0.4149164720731071,0.1956456322707547,0.13533862222777035,0.11406931647088732,14348
ATP2A1,-0.03908353568606028,-0.06168389708736708,0.0226003614013068,1.7828475155644827,0.0786599340601942,0.2530865382439157,0.2363612369019659,0.10163617540384197,0.09521362016595106,14349
VAPA,-0.05059168902590893,-0.07319384747516944,0.022602158449260508,1.5357782270712137,0.12827077360849487,0.3386869741678577,0.1419481609648262,0.11403860600379295,0.1617285777154713,14350
ZG16B,0.04455502920183069,0.02194811619068237,0.022606913011148318,2.033150368960418,0.045502218017306514,0.18054885400936557,0.24890058549720218,0.08866783754156038,0.09096562414092448,14351
ZNF396,0.09053605475121487,0.06791939386364701,0.022616660887567863,1.9442681872096892,0.05537549707625588,0.2031030430707,0.20891982367089804,0.09173357690449889,0.10924245176401927,14352
CCNB3,0.09885806033840962,0.07621705825319142,0.0226410020852182,2.1723842609456474,0.03292114436441533,0.1482028747069301,0.26620957997625566,0.08311610062365987,0.08517366575569595,14353
